title	authors	year	volume	issue	pages	abstract	pubmed	lab	people	tags	url
Non-transcriptional control of DNA replication by c-myc	Dominguez-Sola D;Ying CY;Grandori C;Ruggiero L;Chen B;Galloway DA;Gu W;Gautier J;Dalla-Favera R	2007	448	7152	445-51			riccardo-dalla-favera	riccardo-dalla-favera	Article	
A Signaling Pathway Mediating Downregulation of BCL6 in Germinal Center B Cells Is Blocked by BCL6 Gene Alterations in B Cell Lymphoma	Saito M;Gao J;Basso K;Kitagawa ;Smith PM;Pasqualucci L;Dalla-Favera R	2007						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Genotoxic stress regulates expression of the BCL6 proto-oncogene in germinal-center B cells	Phan RT;Saito M;Kitagawa Y;Means A;Dalla-Favera R	2007						riccardo-dalla-favera	riccardo-dalla-favera	Article	
AID is required for germinal center derived lymphomagenesis	Pasqualucci L;Bhagat G;Jankovic M;Compagno M;Smith P;Morse III;Nussenzweig MC;Dalla-Favera R	2008	40	1	108-12			riccardo-dalla-favera	riccardo-dalla-favera	Article	
Jr, Chen CZ, Califano A, Dalla-Favera R	Basso K;Sumazin P;Morozov P;Schneider C;Maute RL;Kitagawa Y;Mandelbaum J;Haddad J	2009						riccardo-dalla-favera	riccardo-dalla-favera	Article	
and Pasqualucci, L	Compagno M;Lim WK;Grunn A;Nandula SV;Brahmachary M;Shen Q;Bertoni F;Ponzoni M;Scandurra M;Califano A;Bhagat G;Chadburn A;Dalla-Favera R	2009	459		717-21			riccardo-dalla-favera	riccardo-dalla-favera	Article	
The DLEU2/miR-15a/16-1 cluster controls B-cell proliferation and its deletion leads to chronic lymphocytic leukemia	Klein U;Lia M;Crespo M;Siegel R;Shen Q;Mo T;Ambesi-Impiombato A;Califano A;Migliazza A;Bhagat G;Dalla-Favera R	2010	17	1	28-40			riccardo-dalla-favera	riccardo-dalla-favera	Article	
BLIMP1 is a tumor suppressor gene frequently disrupted in activated B-cell like diffuse large B cell lymphoma	Mandelbaum J;Bhagat G;Tang H;Mo T;Brahmachary M;Shen Q;Chadburn A;Rajewsky K;Tarakhovsky A;Pasqualucci L;Dalla-Favera A	2010						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Inactivating mutations of acetyltransferase genes in B-cell lymphoma	Pasqualucci L;Dominguez-Sola D;Chiarenza A;Fabbri G;Grunn A;Trifonov V;Kasper LH;Lerach S;Tang H;Ma J;Rossi D;Chadburn A;Murty VV;Mullighan CG;Gaidano G;Rabadan R;Brindle PK;Dalla-Favera R	2011						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Trifonov V, Fabbri G, Ma J, Rossi D, Chiarenza A, Wells VA, Grunn A, Messina M, Elliot O, Chan J, Bhagat G, Chadburn A, Gaidano G, Mullighan, C	Pasqualucci L	2011						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Combined Genetic Inactivation of Beta2-Microglobulin and CD58 Reveals Frequent Escape from Immune Recognition in Diffuse Large B-cell Lymphoma	Challa-Malladi M;Lieu YK;Califano O;Holmes A;Bhagat G;Dominguez-Sola D;Murty VV;Pasqualucci L;Dalla-Favera R	2011						riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
The proto-oncogene MYC is required for selection in the germinal center and cyclic reentry	Dominguez-Sola D;Victora GD;Ying CY;Phan RT;Saito M;Nussenzweig MC;Dalla-Favera R	2012						riccardo-dalla-favera	riccardo-dalla-favera	Article	
tRNA-derived microRNA modulates proliferation and the DNA damage response and is down-regulated in B cell lymphoma	Maute RL;Schneider C;Sumazin P;Holmes A;Califano A;Basso K;Dalla-Favera R	2013	110	4	1404-9			riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
MEF2B mutations lead to deregulated expression of the BCL6 oncogene in diffuse large B cell lymphoma	Ying CY;Dominguez-Sola D;Fabi M;Lorenz IC;Hussein S;Bansal M;Califano A;Pasqualucci L;Basso K;Dalla-Favera R	2013						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Genetic lesions associated with chronic lymphocytic leukemia transformation to Richter syndrome	Fabbri G;Khiabanian H;Holmes AB;Wang J;Messina M;Mullighan CG;Pasqualucci L;Rabadan R;Dalla-Favera R	2013						riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
Genetics of Follicular Lymphoma Transformation	Pasqualucci L;Khiabanian H;Fangazio M;Vasishtha M;Messina M;Holmes AB;Ouillette P;Trifonov V;Rossi D;Tabbò F;Ponzoni M;Chadburn A;Murty VV;Bhagat G;Gaidano G;Inghirami G;Malek SN;Rabadan R;Dalla-Favera R	2014	6	1	130-40			riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
Genome-wide Mapping and Characterization of Notch-Regulated Long Noncoding RNAs in Acute Leukemia	Trimarchi T;Bilal E;Ntziachristos P;Fabbri G;Dalla-Favera R;Tsirigos A;Aifantis I	2014	158	3	593-606			riccardo-dalla-favera	riccardo-dalla-favera	Article	
Disruption of KMT2D perturbs germinal center B cell development and promotes lymphomagenesis	Zhang J;Dominguez-Sola D;Hussein S;Lee JE;Holmes AB;Bansal M;Vlasevska S;Mo T;Tang H;Basso K;Ge K;Dalla-Favera R;Pasqualucci L	2015						riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	http://www.ncbi.nlm.nih.gov/pubmed/26366712
Germinal Centres and B cell lymphomagenesis	Basso K;Dalla-Favera R	2015	15	3	172-84			riccardo-dalla-favera	riccardo-dalla-favera	Article	
The molecular pathogenesis of chronic lymphocytic leukaemia	Fabbri G;Dalla-Favera R	2016	16	3	145-62			riccardo-dalla-favera	riccardo-dalla-favera	Article	
FBXO11 inactivation leads to abnormal germinal-center formation and lymphoproliferative diseases	Schneider C;Kon N;Amadori L;Shen Q;Schwartz FH;Tischler B;Bossennec M;Dominguez-Sola D;Bhagat G;Gu W;Basso K;Dalla-Favera R	2016						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Common nonmutational NOTCH1 activation in chronic lymphocytic leukemia	Fabbri G;Holmes AB;Viganotti M;Scuoppo C;Belver L;Herranz D;Yan XJ;Kieso Y;Rossi D;Gaidano G;Chiorazzi N;Ferrando AA;Dalla-Favera R	2017						riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
Molecular genetics of aggressive B-cell lymphoma	Dalla-Favera R	2017	1		76-79			riccardo-dalla-favera	riccardo-dalla-favera	Article	
Genetics of diffuse large B-cell lymphoma	Pasqualucci L;Dalla-Favera R	2018	131	21	2307-2319			riccardo-dalla-favera	riccardo-dalla-favera	Article	
MEF2B Instructs Germinal Center Development and Acts as an Oncogene in B Cell Lymphomagenesis	Brescia P;Schneider C;Holmes AB;Shen Q;Hussein S;Pasqualucci L;Basso K;Dalla-Favera R	2018	34	3	453-465			riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
Chronic lymphocytic leaukaemia: from genetics to treatment	Bosch F;Dalla-Favera R	2019						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Repurposing dasatinib for diffuse large B cell lymphoma	Scuoppo C;Wang J;Persaud M;Mittan SK;Basso K;Pasqualucci L;Rabadan R;Inghirami G;Grandori C;Bosch F,Dalla-Favera	2019						riccardo-dalla-favera	riccardo-dalla-favera	Article	
Unique and shared epigenetic programs of the CREBBP and EP300 Acetyltransferases in germinal center B cells reveal targetable dependencies in lymphoma	Meyer SN;Scuoppo C;Vlasevska S;Bal E;Holmes AB;Holloman M;Garcia-Ibanez L;Nataraj S;Duval R;Vantrimpont T;Basso K;Brooks N;Dalla-Favera R;Pasqualucci L	2019						riccardo-dalla-favera	antony-holmes;riccardo-dalla-favera	Article	
Repurposing dasatinib for diffuse large B cell lymphoma	Scuoppo C;Wang J;Persaud M;Mittan SK;Basso K;Pasqualucci L;Rabadan R;Inghirami G;Grandori C;Bosch F;Dalla-Favera R	2019	116	34	16981-16986			riccardo-dalla-favera	riccardo-dalla-favera	Article	
The tal gene undergoes chromosome translocation in T cell leukemia and potentially encodes a helix-loop-helix protein	Chen Q;Cheng J-T;Tsai L-H;Schneider N;Buchanan G;Carroll A;Crist W;Ozanne B;Siciliano MJ;Baer R	1990	9		415-424			richard-baer	richard-baer	Article	
Site-specific recombination of the tal-1 gene is a common occurrence in human T cell leukemia	Brown L;Cheng J-T;Chen Q;Siciliano MJ;Crist W;Buchanan G;Baer R	1990	9		3343-3351			richard-baer	richard-baer	Article	
TAL2, a helix-loop-helix gene activated by the (7;9)(q34;q32) translocation in human T cell leukemia	Xia Y;Brown L;Yang CY-C;Tsan JT;Siciliano MJ;Espinosa III;Le Beau;Baer R	1991	88		11416-11420			richard-baer	richard-baer	Article	
Specific in vivo association between the bHLH and LIM proteins implicated in human T cell leukemia	Wadman I;Li J;Bash RO;Forster A;Osada H;Rabbitts TH;Baer R	1994	13		4831-4839			richard-baer	richard-baer	Article	
The role of chromosome translocations in T cell acute leukemia	Hwang L-Y;Baer R	1995	7		659-664			richard-baer	richard-baer	Article	
Identification of a RING protein that can interact in vivo with the BRCA1 gene product	Wu LC;Wang ZW;Tsan JT;Spillman MA;Phung A;Xu XL;Yang M-C.W;Hwang L-Y;Bowcock AM;Baer R	1996					8944023	richard-baer	richard-baer	Article	
The carboxy-terminal (BRCT) domains of BRCA1 interact in vivo with CtIP, a protein implicated in the CtBP pathway of transcriptional repression	Yu X;Wu LC;Bowcock AM;Aronheim A;Baer R	1998	273		25388-25392		9738006	richard-baer	richard-baer	Article	
Nuclear localization and cell cycle-specific expression of CtIP, a protein that associates with the BRCA1 tumor suppressor	Yu X;Baer R	2000	275		18541-18549		10764811	richard-baer	richard-baer	Article	
Effect of DNA damage on a BRCA1 complex	Wu-Baer F;Baer R	2001					11689934	richard-baer	richard-baer	Article	
The BRCA1/BARD1 heterodimer assembles polyubiquitin chains through an unconventional linkage involving lysine residue K6 of ubiquitin	Wu-Baer F;Lagrazon K;Yuan W;Baer R	2003	278		34743-34746		12890688	richard-baer	richard-baer	Article	
Hyperphosphorylation of the BARD1 tumor suppressor in mitotic cells	Choudhury AD;Xu H;Modi AP;Zhang W;Ludwig T;Baer R	2005	280		24669-24679		15855157	richard-baer	richard-baer	Article	
BRCA1 ubiquitinates its phosphorylation-dependent binding partner CtIP	Yu X;Fu S;Lai M;Baer R;Chen J	2006	20		1721-1726			richard-baer	richard-baer	Article	
Structural requirements for the BARD1 tumor suppressor in chromosomal stability and homology-directed DNA repair	Laufer M;Nandula SV;Modi AP;Wang S;Jasin M;Murty VV;Ludwig T;Baer R	2007	282		34325-34333		17848578	richard-baer	richard-baer	Article	
CtIP cooperates with the MRE11 complex to promote DNA end resection	Sartori AA;Lukas C;Coates J;Fu S;Baer R;Lukas J;Jackson SP	2007						richard-baer	richard-baer	Article	
Identification and characterization of an inhibitor of the MRE11-RAD50-NBS1 complex	Dupr A;Boyer-Chatenet L;Sattler RS;Modi AP;Lee J-H;Nicolette ML;Kopelovich L;Jasin M;Baer R;Paull TT;Gautier J	2007	4		119-125			richard-baer	richard-baer	Article	
A common basal-like phenotype for mammary carcinomas induced by conditional inactivation of the BARD1 and BRCA1 tumor suppressors	Shakya R;Szabolcs M;McCarthy EE;Ospina E;Basso K;Nandula SV;Murty VV;Baer R;Ludwig T	2008	105		7040-7045			richard-baer	richard-baer	Article	
The E3 ubiquitin ligase activity of BRCA1 is not essential for mammalian cell viability or homology-directed repair of double-strand DNA breaks	Reid LJ;Shakya R;Modi AP;Lokshin M;Cheng J-T;Jasin M;Baer R;Ludwig T	2008	105		20876-20881			richard-baer	richard-baer	Article	
The UBXN1 protein associates with autoubiquitinated forms of the BRCA1 tumor suppressor and inhibits its enzymatic function	Wu-Baer F;Ludwig T;Baer R	2010						richard-baer	richard-baer	Article	
Cdk1 uncouples CtIP-dependent resection and Rad51 filament formation during M-phase double-strand break repair	Peterson SE;Li Y;Chait BT;Gottesman ME;Baer R;Gautier J	2011	194		705-720			richard-baer	richard-baer	Article	
BRCA1 tumor suppression depends on BRCT phosphoprotein binding, but not its E3 ligase activity	Shakya R;Reid LJ;Reczek CR;Cole F;Egli D;Lin C-S;deRooij DG;Hirsch S;Ravi K;Hicks JB;Szabolcs M;Jasin M;Baer R;Ludwig T	2011	334		525-528			richard-baer	richard-baer	Article	
Tumor suppression in the absence of p53-mediated cell-cycle arrest, apoptosis, and senescence	Li T;Kon N;Jiang L;Tan M;Ludwig T;ZHao Y;Baer R;Gu W	2012	146		1269-83			richard-baer	richard-baer	Article	
Activation of DSB processing requires phosphorylation of CtIP by ATR	Peterson SE;Li Y;Wu-Baer F;Chait BT;Baer R;Yan H;Gottesman ME;Gautier J	2013						richard-baer	richard-baer	Article	
Luring BRCA1 to the scene of the crime	Baer R	2013	23		565-7			richard-baer	richard-baer	Article	
The interaction between CtIP and BRCA1 is not essential for resection-mediated DNA repair or tumor suppression	Reczek CR;Szabolcs M;Start JM;Ludwig T;Baer R	2013						richard-baer	richard-baer	Article	
DNA double-strand break repair pathway choice and cancer	Aparicio T;Baer R;Gautier J	2014						richard-baer	richard-baer	Article	
Ferroptosis as a p53-mediated activity during tumour suppression	Jiang L;Kon N;Li T;Wang SJ;Su T;Hibshoosh H;Baer R;Gu W	2015					25799988	richard-baer	richard-baer	Article	
The DNA resection protein CtIP promotes mammary tumorigenesis	Reczek CR;Shakya R;Miteva Y;Szabolcs M;Ludwig T;Baer R	2016	7	22	32172-83		27058754	richard-baer	richard-baer	Article	
Genomic instability during reprogramming by nuclear transfer is DNA replication dependent	Chia G;Agudo J;Treff N;Sauer MV;Billing D;Brown BD;Baer R;Egli D	2017	19	4	282-291		28263958	richard-baer	richard-baer	Article	
NRF2 is a major target of ARF in p53-independent tumor suppression	Chen D;Tavana O;Chu B;Erber L;Chen Y;Baer R;Gu W	2017	68	1	224-232		28985506	richard-baer	richard-baer	Article	
The BRCT Domains of the BRCA1 and BARD1 Tumor Suppressors Differentially Regulate Homology-Directed Repair and Stalled Fork Protection	Billing D;Horiguchi M;Wu-Baer F;Taglialatela A;Leuzzi G;Nanez SA;Jiang W;Zha S;Szabolcs M;Lin CS;Ciccia A;Baer R	2018	72	1	127-139			richard-baer	richard-baer	Article	
LMO2 as a Biomarker for hypersensitivity to genotoxic therapy	Scuoppo C;Zha S	2019	36	3	211-212			shan-zha	shan-zha	Article	
Phosphorylation at S2053 in Murine (S2056 in Human) DNA-PKcs is despensable for lymphocyte development and class switch recombination	Jiang W;Estes VM;Wang XS;Shao Z;Lee BJ;Lin X;Crowe JL;Zha S	2019	203	1	178-187			shan-zha	shan-zha	Article	
CtIP is essential for early B cell proliferation and development in mice	Liu X;Wang XS;Lee BJ;Wu-Baer FK;Lin X;Shao Z;Estes VM;Gautier J;Baer R;Zha S	2019	216	7	1648-1663			shan-zha	shan-zha	Article	
Kinase-dead ATR differs from ATR loss by limiting the dynamic exchange of ATR and RPA	Menolfi D;Jiang W;Lee BJ;Moiseeva T;Shao Z;Estes V;Frattini MG;Bakkenist CJ;Zha S	2018						shan-zha	shan-zha	Article	
Kinase-dependent structural role of DNA-PKcs during immunoglobulin class switch recombination	Crowe JL;Shao Z;Wang XS;Wei PC;Jiang W;Lee BJ;Estes VM;Alt FW;Zha S	2018	115	34	8615-8620			shan-zha	shan-zha	Article	
MRI Is a DNA Damage Response Adaptor during Classical Non-homologous End Joining	Hung PJ;Johnson B;Chen BR;Byrum AK;Bredemeyer AL;Yewdell WT;Johnson TE;Lee BJ;Deivasigamani S;Hindi I;Amatya P;Gross ML;Paull TT;Pisapia DJ;Chaudhuri J;Petrini JJH;Mosammaparast N;Amarasinghe GK;Zha S;Tyler JK;Sleckman BP	2018						shan-zha	shan-zha	Article	
Actionable perturbations of damage responses by TCL1/ATM and epigenetic lesions form the basis of T-PLL	Schrader A;Crispatzu G;Oberbeck S;Mayer P;Pützer S;von Jan;Vasyutina E;Warner K;Weit N;Pflug N;Braun T;Andersson EI;Yadav B;Riabinska A;Maurer B;Ventura Ferreira;Beier F;Altmüller J;Lanasa M;Herling CD;Haferlach T;Stilgenbauer S;Hopfinger G;Peifer M;Brümmendorf TH;Nürnberg P;Elenitoba-Johnson KSJ;Zha S;Hallek M;Moriggl R;Reinhardt HC;Stern MH;Mustjoki S;Newrzela S;Frommolt P;Herling M	2018						shan-zha	shan-zha	Article	
New diagnosis of atypical ataxia-telangiectasia in a 17-year-old boy with T-cell acute lymphoblastic leukemia and a novel ATM mutation	Roohi J;Crowe J;Loredan D;Anyane-Yeboa K;Mansukhani MM;Omesi L;Levine J;Revah Politi;Zha S	2017	62	5	581-584			shan-zha	shan-zha	Article	
PAXX promotes KU accumulation at DNA breaks and is essential for end-joining in XLF-deficient mice	Liu X;Shao Z;Jiang W;Lee BJ;Zha S	2017						shan-zha	shan-zha	Article	
Regulation of the DNA Damage Response by DNA-PKcs Inhibitory Phosphorylation of ATM	Zhou Y;Lee JH;Jiang W;Crowe JL;Zha S;Paull TT	2017	65	1	91-104			shan-zha	shan-zha	Article	
Kinase-dead ATM protein is highly oncogenic and can be preferentially targeted by Topo-isomerase I inhibitors	Yamamoto K;Wang J;Sprinzen L;Xu J;Haddock CJ;Li C;Lee BJ;Loredan DG;Jiang W;Vindigni A;Wang D;Rabadan R;Zha S	2016						shan-zha	shan-zha	Article	
Loss of p53-mediated cell-cycle arrest, senescence and apoptosis promotes genomic instability and premature aging	Li T;Liu X;Jiang L;Manfredi J;Zha S;Gu W	2016	7	11	11838-49			shan-zha	shan-zha	Article	
Haploinsufficiency of Bcl11b suppresses the progression of ATM-deficient T cell lymphomas	Pinkey KA;Jiang W;Lee BJ;Loredan DG;Li C;Bhagat G;Zha S	2015					26219558	shan-zha	shan-zha	Article	
Early B-cell Specific Inactivation of ATM Synergizes with Ectopic CyclinD1 Expression to Promote Pre-germinal center B-cell Lymphomas in Mice	Yamamoto K;Lee BJ;Li C;Dubois RL;Hobeika E;Bhagat G;Zha S	2015	29	6	1414-24		25676421	shan-zha	shan-zha	Article	
Aberrant TCRδ rearrangement underlies the T cell lymphocytopenia and t(12;14) translocation associated with ATM deficiency	Jiang W;Lee BJ;Li C;Dubois RL;Gostissa M;Alt FW;Zha S	2015	125	17	2665-8		25721125	shan-zha	shan-zha	Article	
Differential phosphorylation of DNA-PKcs regulates the interplay between end-processing and end-ligation during non-homologous end-joining	Jiang W;Crowe J;Liu X;Nakajima S;Wang Y;Li C;Lee BJ;Dubois RL;Liu C;Yu X;Lan L;Zha S	2015	58	1	172-85			shan-zha	shan-zha	Article	
Interactome analysis identifies a new paralogue of XRCC4 in non-homologous end joining DNA repair pathway	Xing M;Yang M;Huo W;Feng F;Wei L;Jiang W;Ning S;Yan Z;Li W;Wang Q;Hou M;Dong C;Guo R;Gao G;Ji J;Zha S;Lan L;Liang H;Xu D	2015					25670504	shan-zha	shan-zha	Article	
Hematopoietic stem cell dysfunction underlies the progressive lymphocytopenia in XLF/Cernunnos deficiency	Avagyan S;Churchill M;Yamamoto K;Crowe JL;Li C;Lee BJ;Zheng T;Mukherjee S;Zha S	2014	124	10	1622-5		25075129	shan-zha	shan-zha	Article	
Kinase-Dead ATM protein causes genomic instability and early embryonic lethality in mice	Yamamoto K;Wang Y;Jiang W;Dubois RL;Ludwig T;Lin C;Bakkenist CJ;Zha S	2012	198	3	305-13		22869596	shan-zha	shan-zha	Article	
Overlapping functions between XLF repair protein and 53BP1 DNA damage response factor in end joining and lymphocyte development	Liu X;Jiang W;Dubois RL;Yamamoto K;Wolner Z;Zha S	2012	109	10	3903-8			shan-zha	shan-zha	Article	
The BCL11B tumor suppressor is mutated across the major molecular subtypes of T-cell acute lymphoblastic leukemia	Gutierrez A;Kentsis A;Sanda T;Holmfeldt L;Chen SC;Zhang J;Protopopov A;Chin L;Dahlberg SE;Neuberg DS;Silverman LB;Winter SS;Hunger SP;Sallan SE;Zha S;Alt FW;Downing JR;Mullighan CG;Look AT	2011	118	15	4169-73			shan-zha	shan-zha	Article	
Ataxia telangiectasia-mutated protein and DNA-dependent protein kinase have complementary V(D)J recombination functions	Zha S;Jiang W;Fujiwara Y;Patel H;Goff PH;Brush JW;Dubois RL;Alt FW	2011	108	5	2028-33		21245310	shan-zha	shan-zha	Article	
XLF Has Functional Redundancy with ATM and H2AX in Non-homologous DNA End-joining	Zha S;Guo C;Boboila C;Oksenych V;Cheng H;Zhang Y;Wesemann DR;Yuen G;Patel H;Goff PH;Dubois RL;Alt FW	2011	469	7329	250-4			shan-zha	shan-zha	Article	
ATM-Deficient Thymic Lymphoma Is Associated With Aberrant TCR Rearrangement And Gene Amplification	Zha S;Bassing CH;Sanda T;Brush JW;Patel H;Goff PH;Gatti R;Look AT;Alt FW	2010					20566716	shan-zha	shan-zha	Article	
Lymphocyte-Specific Compensation For XLF/Cernunnos End-Joining Functions In V(D)J Recombination	Li G;Alt FW;Cheng HL;Brush JW;Goff PH;Murphy MM;Franco S;Zhang Y;Zha S	2008	31	5	631-40			shan-zha	shan-zha	Article	
Upregulation of ZIP14 and Altered Zinc Homeostasis in Muscles in Pancreatic Cancer Cachexia	Shakri AR;Zhong TJ;Ma W;Coker C;Kim S;Calluori S;Scholze H;Szabolcs M;Caffrey T;Grandgenett PM;Hollingsworth MA;Tanji K;Kluger MD;Miller G;Biswas AK;Acharyya S	2019						swarnali-acharyya	swarnali-acharyya	Article	
The etiology and impact of muscle wasting in metastatic cancer	Biswas AK;Acharyya S	2019						swarnali-acharyya	swarnali-acharyya	Article	
Metastatic cancers promote cachexia through ZIP14 upregulation in skeletal muscle	Wang G;Biswas AK;Ma W;Kandpal M;Coker C;Grandgenett PM;Hollingsworth MA;Jain R;Tanji K;Lόpez-Pintado S;Borczuk A;Hebert D;Jenkitkasemwong S;Hojyo S;Davuluri RV;Knutson MD;Fukada T;Acharyya S	2018	24	6	770-781			swarnali-acharyya	swarnali-acharyya	Article	http://newsroom.cumc.columbia.edu/blog/2018/06/06/excess-zinc-in-muscles-contributes-to-wasting-syndrome-in-cancer/
Monitoring Metastasis and Cachexia in a Patient with Breast Cancer: A Case Study	Consul N;Guo X;Coker C;Lopez-Pintado S;Hibshoosh H;Zhao B;Kalinsky K;Acharyya S	2016	10		83-94			swarnali-acharyya	swarnali-acharyya	Article	
An analysis of the relationship between metastases and cachexia in lung cancer patients	Shiono M;Huang K;Downey RJ;Consul N;Villanueva N;Beck K;Fenn K;Dietz D;Yamaguchi T;Kato S;Divgi C;Kalinsky K;Wei Y;Zhang Y;Borczuk AC;Inoue A;Halmos B;Acharyya S	2016						swarnali-acharyya	swarnali-acharyya	Article	
Arresting supporters: targeting neutrophils in metastasis	Acharyya S;Massague J	2016	26	3	273-4			swarnali-acharyya	swarnali-acharyya	Article	
A CXCL1 paracrine network links cancer chemoresistance and metastasis	Acharyya S;Oskarsson T;Vanharanta S;Malladi S;Kim J;Morris PG;Manova-Todorova K;Leversha M;Hogg N;Seshan VE;Norton L;Brogi E;Massague J	2012						swarnali-acharyya	swarnali-acharyya	Article	
Breast cancer cells produce tenascin-C as a metastatic niche component to colonize the lungs	Oskarsson T;Acharyya S;Zhang XHF;Vanharanta S;Tavazoie SF;Morris PG;Downey RJ;Manova-Todorova K;Brogi E;Massague J	2011						swarnali-acharyya	swarnali-acharyya	Article	
TNF inhibits Notch-1 in skeletal muscle by Ezh2 and DNA methylation mediated repression: implications in Duchenne muscular dystrophy	Acharyya S;Sharma SM;Cheng A;Ladner KJ;Wang H;He W;Ostrowski M;Huang TMH;Guttridge DC	2010						swarnali-acharyya	swarnali-acharyya	Article	
Tumor self-seeding by circulating cancer cells	Kim MY;Oskarsson T;Acharyya S;Nguyen DX;Zhang XH;Norton L;Massague J	2009	139	7	1315-26			swarnali-acharyya	swarnali-acharyya	Article	
Chemotherapy-induced muscle wasting: association with NF-kB and cancer cachexia	Damrauer J;Stadler ME;Acharyya S;Baldwin AS;Couch ME;Guttridge DC	2008	18	5	139-148			swarnali-acharyya	swarnali-acharyya	Article	
ID genes mediate tumor re-initiation during breast cancer metastasis	Gupta GP;Perk J;Acharyya S;de Candia;Mittal V;Todorova-Manova K;Gerald WL;Brogi E;Benezra R;Massagu J	2007	104	49	19506-11			swarnali-acharyya	swarnali-acharyya	Article	
Cancer Cachexia Signaling pathways continue to emerge yet much still points to the proteasome	Acharyya S;Guttridge DC	2007						swarnali-acharyya	swarnali-acharyya	Article	
IKK/NF-kB Signaling Interplay in Macrophages and Myofibers Promotes Muscle Wasting in Duchenne Muscular Dystrophy	Acharyya S;Villalta SA;Bakkar N;Bupha-Intr T;Janssen PML;Carathers M;Karin M;Li ZW;Beg A;Ghosh S;Sahenk Z;Weinstein M;Gardner KL;Rafael-Fortney JA;Tidball JG;Baldwin AS;Guttridge DC	2007	117	4	889-901			swarnali-acharyya	swarnali-acharyya	Article	
Dystrophin glycoprotein complex dysfunction: a regulatory link between muscular dystrophy and cancer cachexia	Acharyya S;Butchbach ME;Sahenk Z;Wang H;Saji M;Carathers M;Ringel MD;Skipworth RJ;Fearon KC;Hollingsworth MA;Muscarella P;Burghes AH;Rafael-Fortney JA;Guttridge DC	2005	8	5	421-32			swarnali-acharyya	swarnali-acharyya	Article	
Cancer cachexia is regulated by selective targeting of skeletal muscle gene products	Acharyya S;Ladner KJ;Nelsen LL;Damrauer J;Reiser PJ;Swoap S;Guttridge DC	2004	114	3	370-8			swarnali-acharyya	swarnali-acharyya	Article	
Deacetylation of p53 modulates its effect on cell growth and apoptosis	Luo J;Su F;Chen D;Shiloh A;Gu W	2000	408		377-381			wei-gu	wei-gu	Article	
Role of PML in p53-dependent apoptosis	Guo A;Salomoni P;Luo J;Shih A;Zhong S;Gu W;Pandolfi PP	2000	2		730-736			wei-gu	wei-gu	Article	
Negative control of p53 by Sir2a promotes cell survival under stress	Luo J;Nikolaev AY;Imai S;Chen D;Su F;Shiloh A;Guarente L;Gu W	2001	107		137-148			wei-gu	wei-gu	Article	
Y, Qin J, and Gu	Li M;Chen D;Shiloh A;Luo J;Nikolaev A	2002						wei-gu	wei-gu	Article	
Crystal structure of a UBP-family deubiquiting enzyme: in isolation and in complex with ubiquitin aldehyde	Hu M;Li P;Li M;Li W;Yao T;Wu J-W;Gu W;Cohen RE;Shi Y	2002						wei-gu	wei-gu	Article	
Parc: a cytoplasmic anchor for p53	Nikolaev AY;Li M;Puskas N;Qin J;Gu W	2003	112		29-40			wei-gu	wei-gu	Article	
Mono- versus polyubiquitination: differential control of p53 fate by Mdm2	Li M;Brooks C;Wu-Baer F;Chen D;Baer R;Gu W	2003	302		1972-5			wei-gu	wei-gu	Article	
Mammalian SIRT1 represses forkhead transcription factors	Motta MC;Divecha N;Lemieux M;Kamel C;Chen D;Gu W;Bultsma Y;McBurney M;Guarente L	2004	116		551-63			wei-gu	wei-gu	Article	
A Dynamic Role of HAUSP in the p53-Mdm2 Pathway	Li M;Brooks CL;Kon N;Gu W	2004	13		879-86			wei-gu	wei-gu	Article	
FoxO1 protects against pancreatic beta cell failure through NeuroD and MafA induction	Kitamura YI;Kitamura T;Kruse JP;Raum JC;Stein R;Gu W;Accili D	2005	2		3-63			wei-gu	wei-gu	Article	
ARF-BP1 is a critical mediator of the ARF tumor suppressor	Chen D;Kon N;Li M;Zhang W;Qin J;Gu W	2005	121		1071-83			wei-gu	wei-gu	Article	
Tumor Suppressor HIC1 Directly Regulates SIRT1 to Modulate p53-Dependent DNA-Damage Responses	Chen WY;Wang DH;Yen RC;Luo J;Gu W;Baylin SB	2005	123		437-48			wei-gu	wei-gu	Article	
L	Brooks C	2006						wei-gu	wei-gu	Article	
Interactions between E2F1 and SirT1 regulate apoptotic response to DNA damage	Wang C;Chen L;Hou X;Li Z;Kabra N;Ma Y;Nemoto S;Finkel T;Gu W;Cress WD;Chen J	2006	8		1025-31			wei-gu	wei-gu	Article	
